User,Name,Completed,DueDate,Priority
leniel@example.com,Buy groceries,false,2026-09-15,Normal
leniel@example.com,Finish quarterly report,true,2026-09-10,High
leniel@example.com,Call the dentist,false,09/20/2026,Low
leniel@example.com,,false,2026-09-18,Normal
leniel@example.com,Renew car insurance,notabool,2026-09-25,Normal
leniel@example.com,Water the plants,false,,Low
leniel@example.com,Water the plants,false,2026-09-19,Low
leniel@example.com,Prepare Leniel's birthday gift,false,2026-13-40,High
,Submit expense report,false,2026-09-22,Normal
leniel@example.com,Review pull request #47,false,2026-09-12,Urgent
leniel@example.com,Plan sprint retro,false,2026-09-14,2
